카드 ID,이름,문양,랭크,희귀도,고유능력,수록 팩 ID,Note,영문명
0,NULL,,,,,,디버깅 및 빈 슬롯 표기용 카드,
1,Basic ♤Ace,스페이드,Ace,Basic,,,기본 지급 카드. 고유능력 없음.,
2,Basic ♤2,스페이드,2,Basic,,,기본 지급 카드. 고유능력 없음.,
3,Basic ♤3,스페이드,3,Basic,,,기본 지급 카드. 고유능력 없음.,
4,Basic ♤4,스페이드,4,Basic,,,기본 지급 카드. 고유능력 없음.,
5,Basic ♤5,스페이드,5,Basic,,,기본 지급 카드. 고유능력 없음.,
6,Basic ♤6,스페이드,6,Basic,,,기본 지급 카드. 고유능력 없음.,
7,Basic ♤7,스페이드,7,Basic,,,기본 지급 카드. 고유능력 없음.,
8,Basic ♤8,스페이드,8,Basic,,,기본 지급 카드. 고유능력 없음.,
9,Basic ♤9,스페이드,9,Basic,,,기본 지급 카드. 고유능력 없음.,
10,Basic ♤10,스페이드,10,Basic,,,기본 지급 카드. 고유능력 없음.,
11,Basic ♤J,스페이드,J,Basic,,,기본 지급 카드. 고유능력 없음.,
12,Basic ♤Q,스페이드,Q,Basic,,,기본 지급 카드. 고유능력 없음.,
13,Basic ♤K,스페이드,K,Basic,,,기본 지급 카드. 고유능력 없음.,
14,Basic ♤Joker,스페이드,Joker,Basic,,,기본 지급 카드. 고유능력 없음.,
15,Basic ♡Ace,하트,Ace,Basic,,,기본 지급 카드. 고유능력 없음.,
16,Basic ♡2,하트,2,Basic,,,기본 지급 카드. 고유능력 없음.,
17,Basic ♡3,하트,3,Basic,,,기본 지급 카드. 고유능력 없음.,
18,Basic ♡4,하트,4,Basic,,,기본 지급 카드. 고유능력 없음.,
19,Basic ♡5,하트,5,Basic,,,기본 지급 카드. 고유능력 없음.,
20,Basic ♡6,하트,6,Basic,,,기본 지급 카드. 고유능력 없음.,
21,Basic ♡7,하트,7,Basic,,,기본 지급 카드. 고유능력 없음.,
22,Basic ♡8,하트,8,Basic,,,기본 지급 카드. 고유능력 없음.,
23,Basic ♡9,하트,9,Basic,,,기본 지급 카드. 고유능력 없음.,
24,Basic ♡10,하트,10,Basic,,,기본 지급 카드. 고유능력 없음.,
25,Basic ♡J,하트,J,Basic,,,기본 지급 카드. 고유능력 없음.,
26,Basic ♡Q,하트,Q,Basic,,,기본 지급 카드. 고유능력 없음.,
27,Basic ♡K,하트,K,Basic,,,기본 지급 카드. 고유능력 없음.,
28,Basic ♡Joker,하트,Joker,Basic,,,기본 지급 카드. 고유능력 없음.,
29,Basic ◇Ace,다이아몬드,Ace,Basic,,,기본 지급 카드. 고유능력 없음.,
30,Basic ◇2,다이아몬드,2,Basic,,,기본 지급 카드. 고유능력 없음.,
31,Basic ◇3,다이아몬드,3,Basic,,,기본 지급 카드. 고유능력 없음.,
32,Basic ◇4,다이아몬드,4,Basic,,,기본 지급 카드. 고유능력 없음.,
33,Basic ◇5,다이아몬드,5,Basic,,,기본 지급 카드. 고유능력 없음.,
34,Basic ◇6,다이아몬드,6,Basic,,,기본 지급 카드. 고유능력 없음.,
35,Basic ◇7,다이아몬드,7,Basic,,,기본 지급 카드. 고유능력 없음.,
36,Basic ◇8,다이아몬드,8,Basic,,,기본 지급 카드. 고유능력 없음.,
37,Basic ◇9,다이아몬드,9,Basic,,,기본 지급 카드. 고유능력 없음.,
38,Basic ◇10,다이아몬드,10,Basic,,,기본 지급 카드. 고유능력 없음.,
39,Basic ◇J,다이아몬드,J,Basic,,,기본 지급 카드. 고유능력 없음.,
40,Basic ◇Q,다이아몬드,Q,Basic,,,기본 지급 카드. 고유능력 없음.,
41,Basic ◇K,다이아몬드,K,Basic,,,기본 지급 카드. 고유능력 없음.,
