이름,Note,고유능력,랭크,문양,수록 팩 ID,영문명,카드 ID,희귀도
검은 장미의 선봉장,,"검은 장미의 선봉장 : 다음 드로우 시, 덱에 남아있는 “검은 장미” 카드 최대 5장을 덱의 위에서부터 우선 드로우한다.
”장미의 선봉장” 효과는 한번에 하나만 발동할 수 있다.",Ace,스페이드,,,57,Legendary
검은 장미의 장궁병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",2,스페이드,,,58,Normal
검은 장미의 선봉 기수,,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",3,스페이드,,,59,Rare
검은 장미의 야전 지휘관,,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",4,스페이드,,,60,Rare
검은 장미의 석궁병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",5,스페이드,,,61,Normal
검은 장미의 화승총병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",6,스페이드,,,62,Normal
검은 장미의 도끼병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",7,스페이드,,,63,Normal
검은 장미의 장창병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",8,스페이드,,,64,Normal
검은 장미의 중장병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",9,스페이드,,,65,Normal
검은 장미의 경기병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",10,스페이드,,,66,Normal
