카드 ID,이름,영문명,문양,랭크,희귀도,고유능력,수록 팩 ID,Note
113,다이아몬드 필드의 에이스,Diamond Field Ace,다이아몬드,Ace,Legendary,"퍼펙트 게임 - 낙인 “철벽 내야”, “철벽 외야” 가 모두 존재하고, 필드에 “다이아몬드 필드의 포수” 가 존재할 때, 낙인 “퍼펙트 게임” 을 획득한다.
낙인 “퍼펙트 게임” : 모든 랭크 점수에 보너스 +99점을 부여한다.",,+99: 류현진 등번호 레퍼런스
114,다이아몬드 필드의 포수,Diamond Field Catcher,다이아몬드,2,Rare,"영혼의 배터리 - ‘다이아몬드 필드의 에이스’ 카드가 묘지에 존재한다면, 이를 덱의 맨 아래로 되돌린다.",,
115,다이아몬드 필드의 1루수,Diamond Field First Baseman,다이아몬드,3,Normal,내야수 - 이 카드는 “내야수” 특성을 갖는다.,,
116,다이아몬드 필드의 2루수,Diamond Field Second Baseman,다이아몬드,4,Normal,내야수 - 이 카드는 “내야수” 특성을 갖는다.,,
117,다이아몬드 필드의 3루수,Diamond Field Third Baseman,다이아몬드,5,Normal,내야수 - 이 카드는 “내야수” 특성을 갖는다.,,
118,다이아몬드 필드의 유격수,Diamond Field Shortstop,다이아몬드,6,Rare,"내야수 - 이 카드는 “내야수” 특성을 갖는다.
내야의 지휘자 - 필드의 “내야수” 특성을 갖는 카드의 수에 따라 아래의 효과를 얻는다.
1장 : 실책 - 이 카드가 처리하는 노트에 대한 판정은 항상 ‘Miss’ 로 취급한다.
2장 : 하이점프캐치 - 필드의 “내야수” 카드들이 처리하는 노트에서 ‘Good’ 이상의 판정이 나올 경우, 이를 모두 ‘Perfect’ 판정으로 취급한다.
3장 : 더블플레이 - 필드의 모든 “내야수” 카드들의 랭크 점수에 보너스 +73점을 부여한다.
4장 : 낙인 “철벽 내야” 를 획득한다.",,"+73: 08베이징 올림픽 끝내기 병살플레이를 만든 박진만(7), 고영민(3) 등번호 레퍼런스"
119,다이아몬드 필드의 좌익수,Diamond Field Left Fielder,다이아몬드,7,Normal,외야수 - 이 카드는 “외야수” 특성을 갖는다.,,
120,다이아몬드 필드의 중견수,Diamond Field Center Fielder,다이아몬드,8,Rare,"외야수 - 이 카드는 “외야수” 특성을 갖는다.
외야의 지휘자 - 필드의 “외야수” 특성을 갖는 카드의 수에 따라 아래의 효과를 얻는다.
1장 : 실책 - 이 카드가 처리하는 노트에 대한 판정은 항상 ‘Miss’ 로 취급한다.
2장 : 다이빙 캐치 - “외야수” 카드들이 처리하는 노트에서 ‘Miss’ 판정이 나올 경우, 이를 ‘Good’ 판정으로 취급한다.
3장 : 낙인 “철벽 외야” 를 획득한다.",,
121,다이아몬드 필드의 우익수,Diamond Field Right Fielder,다이아몬드,9,Normal,외야수 - 이 카드는 “외야수” 특성을 갖는다.,,
122,다이아몬드 필드의 서포터즈,Diamond Field Supporters,다이아몬드,10,Epic,10번 타자 - 이 카드를 제외한 모든 ‘다이아몬드 필드’ 카드의 랭크 점수를 2배로 한다.,,
123,다이아몬드 필드의 감독,Diamond Field Manager,다이아몬드,J,Legendary,라인업 - 덱에 남아있는 “다이아몬드 필드” 카드들을 랭크 오름차순으로 덱의 맨 위로 이동시킨다.,,
124,다이아몬드 필드의 단장,Diamond Field General Manager,다이아몬드,Q,Normal,"스토브리그 - 필드의 “내야수”, “외야수” 카드 수를 각각 +1 한다.",,
125,다이아몬드 필드의 클로저,Diamond Field Closer,다이아몬드,K,Epic,"Born to K - 이 카드의 양 옆에 놓인 카드들의 랭크를 ‘K’로 취급한다.  이 카드가 필드에 존재할 때 ‘K’ 포카드 족보가 완성된다면, 그 족보 점수 배율에 보너스 +4.9를 부여한다.",,"BK 김병현 애리조나 시절 등번호 49번 레퍼런스
족보 점수 배율 보너스는 현재 포카드 배율이 x4.4 인데, 이를 x9.3 으로 만든다는 의미임."
126,다이아몬드 필드의 유틸리티,Diamond Field Utility Player,다이아몬드,Joker,Rare,"멀티포지션 - 이 카드는 “내야수”, “외야수” 특성을 모두 갖는다.",,
