카드 ID,이름,문양,랭크,희귀도,고유능력,수록 팩 ID,Note,영문명
57,검은 장미의 선봉장,스페이드,Ace,Legendary,"검은 장미의 선봉장 : 다음 드로우 시, 덱에 남아있는 “검은 장미” 카드 최대 5장을 덱의 위에서부터 우선 드로우한다.
”장미의 선봉장” 효과는 한번에 하나만 발동할 수 있다.",,,
58,검은 장미의 장궁병,스페이드,2,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
59,검은 장미의 선봉 기수,스페이드,3,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
60,검은 장미의 야전 지휘관,스페이드,4,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
61,검은 장미의 석궁병,스페이드,5,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
62,검은 장미의 화승총병,스페이드,6,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
63,검은 장미의 도끼병,스페이드,7,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
64,검은 장미의 장창병,스페이드,8,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
65,검은 장미의 중장병,스페이드,9,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
66,검은 장미의 경기병,스페이드,10,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
67,검은 장미의 교섭자,스페이드,J,Rare,"검은 장미의 교섭자 : 이 카드가 필드에 존재할 경우, 필드의 다른 “붉은 장미” 카드는 “검은 장미” 카드로 취급된다. 고유능력은 변경되지 않는다.",,,
68,검은 장미의 여왕,스페이드,Q,Epic,"검은 장미의 여왕 : 현재 필드의 가장 높은 족보가 스페이드/클럽 카드만으로 이루어져 있을 경우, 그 족보 점수 배율에 +4를 부여한다.",,,
69,검은 장미의 왕자,스페이드,K,Rare,"검은 장미의 왕자 : 다음 드로우 시, 덱에 “검은 장미의 왕”이 존재한다면, 그 카드와 홀수 랭크의 스페이드/클럽 카드 1장을 우선 드로우한다.",,,
70,검은 장미의 ♤Joker,스페이드,Joker,Epic,"붉은 장미의 스파이 : 이 카드가 필드에 존재할 때, 필드에 Epic 등급 이상의 “검은 장미” 카드가 존재할 경우 낙인 “정보 수집 - 검은 장미” 을 획득한다.
낙인 “정보 수집 - 검은 장미” : (효과 없이 플레이버 텍스트만 존재. 전령 효과 발동을 위해서 존재)",,,
71,붉은 장미의 후군장,하트,Ace,Epic,"붉은 장미의 후군장 : 현재 묘지에 존재하는 “붉은 장미” 카드 최대 5장을 묘지의 아래에서부터 덱으로 리바이브한다. 그 후, 덱을 셔플한다.",,,
72,붉은 장미의 공성병,하트,2,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
73,붉은 장미의 함선원,하트,3,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
74,붉은 장미의 갑판병,하트,4,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
75,붉은 장미의 함포 사수,하트,5,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
76,붉은 장미의 후위 기수,하트,6,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
77,붉은 장미의 병기 총감,하트,7,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
78,붉은 장미의 보급관,하트,8,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
79,붉은 장미의 의무병,하트,9,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
80,붉은 장미의 대장장이,하트,10,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
81,붉은 장미의 사제,하트,J,Rare,"붉은 장미의 사제 : 필드의 “붉은 장미” 카드의 수가 “검은 장미” 카드의 수 보다 많을 경우, 현재 족보의 점수 배율을 +2 한다.",,,
82,붉은 장미의 공주,하트,Q,Rare,"붉은 장미의 공주 : 다음 드로우 시, 덱에 “붉은 장미의 여왕”이 존재한다면, 그 카드와 짝수 랭크의 다이아몬드/하트 카드 2장을 우선 드로우한다.",,,
83,붉은 장미의 왕,하트,K,Legendary,"붉은 장미의 왕 : 현재 필드의 “붉은 장미” 카드의 수가 “검은 장미” 카드의 수 보다 많을 경우, 징표 “붉은 장미의 승리” 를 획득한다. “검은 장미의 왕” 카드를 현재 위치에 상관 없이 영면 상태로 만든다.
징표 - 붉은 장미의 승리 : 게임 종료시까지 모든 스페이드 카드는 다이아몬드로, 클럽 카드는 하트 카드로 취급한다.",,,
84,붉은 장미의 ♡Joker,하트,Joker,Epic,"검은 장미의 전령 : 이 카드가 필드에 존재할 때, 낙인 “정보 수집 - 붉은 장미”가 존재할 경우, 이를 소모하고 낙인 “정보 회수 - 붉은 장미” 를 획득한다.
낙인 “정보 회수 - 붉은 장미” : 게임 종료시까지 모든 “붉은 장미” 고유능력을 비활성화하고, “검은 장미단” 고유능력의 추가 점수를 8배로 한다.",,,
85,붉은 장미의 선봉장,다이아몬드,Ace,Legendary,"붉은 장미의 선봉장 : 다음 드로우 시, 덱에 남아있는 “붉은 장미” 카드 최대 5장을 덱의 위에서부터 우선 드로우한다.
”장미의 선봉장” 효과는 한번에 하나만 발동할 수 있다.",,,
